unique_identifier,region,seoul_metro_area,n_fam_members,n_under_age10,live_toge_couple,both_work,only_man_works,only_woman_works,both_dont_work,GENDER_RESP,AGE_RESP,HOUSE_TYPE,HOUSE_TYPE2,HOUSE_SQ_METER,HOUSE_RENT,HOUSE_RENT2,HOUSEHOLD_INC,TIME_SHORTAGE,WORK_GIVEUP,WORK_GIVEUP2,HOW_TIRED,REASON_TIRED,REASON_TIRED2,SATIS_LIFE,SATIS_LEISURE,SATIS_HOUWORK_DIVISION,GENDER_ROLE,edu_level,working_status,reason_not_working,working_field,position_type,hired_status,working_time,weekly_worktime,week_sidejob_worktime,dayoff_type,health_status
892,23,Y,5,0,Y,N,Y,N,N,1,47,2,APT,85,1,OWN,4,3,,,2,1,WORK,2,3,3,1,4,1,,MANUFACTURE,skill_own_worker,1,1,50,0,1,2
4951,24,N,2,0,Y,N,Y,N,N,1,47,1,SINGLE,49,3,RENT_DEPOSIT,1,3,,,2,1,WORK,3,3,3,3,3,1,,ETC,service_worker,1,1,43,0,5,3
4978,24,N,3,0,Y,N,Y,N,N,1,47,2,APT,60,1,OWN,5,2,2,STUDY,2,1,WORK,3,3,3,3,4,1,,CONSTRUCTION,machine_tech,5,,38,0,5,2
5102,24,N,5,2,Y,N,Y,N,N,1,47,1,SINGLE,147,2,JEONSE,4,2,3,CHI_CARE,2,3,CHI_CARE,3,4,3,4,7,1,,EDUCATION,expert,2,2,15,0,1,2
5127,24,N,3,0,Y,N,Y,N,N,2,47,3,SMALL_FLAT,59,1,OWN,4,2,4,HOUSEWORK,2,1,WORK,2,2,3,4,4,3,8,,,,,,,,2
5197,24,N,5,0,Y,N,Y,N,N,1,47,2,APT,85,1,OWN,2,4,,,1,1,WORK,3,3,4,2,5,1,,ETC,skill_own_worker,5,,84,0,3,3
5268,24,N,2,0,Y,N,Y,N,N,1,47,2,APT,71,1,OWN,5,3,,,2,1,WORK,3,1,1,3,4,1,,CONSTRUCTION,office_worker,1,1,53,0,5,1
5301,24,N,4,0,Y,N,Y,N,N,1,47,2,APT,84,1,OWN,5,1,1,WORK,1,1,WORK,4,5,1,2,7,1,,IT,expert,1,1,70,0,5,3
5344,24,N,4,0,Y,N,Y,N,N,1,47,2,APT,59,3,RENT_DEPOSIT,4,2,1,WORK,1,1,WORK,3,4,4,2,3,1,,MANUFACTURE,office_worker,1,1,40,0,1,3
5480,24,N,4,0,Y,N,Y,N,N,2,47,3,SMALL_FLAT,196,1,OWN,5,1,7,ETC,1,5,SOCIALIZING,3,4,3,2,5,3,4,,,,,,,,3
8339,26,N,4,0,Y,N,Y,N,N,2,47,2,APT,80,1,OWN,9,3,,,2,4,HOUSEWORK,1,1,1,2,3,3,2,,,,,,,,2
8348,26,N,4,0,Y,N,Y,N,N,1,47,2,APT,80,1,OWN,3,2,1,WORK,2,1,WORK,3,3,1,1,3,1,,CONSTRUCTION,skill_own_worker,3,2,30,0,5,2
8568,26,N,4,2,Y,N,Y,N,N,2,47,2,APT,83,1,OWN,8,2,4,HOUSEWORK,1,3,CHI_CARE,5,4,5,4,4,3,1,,,,,,,,3
11465,29,N,2,0,Y,N,Y,N,N,1,47,1,SINGLE,79,3,RENT_DEPOSIT,9,1,1,WORK,1,1,WORK,2,5,2,1,3,1,,CONSTRUCTION,expert,5,,72,0,3,3
1284,31,Y,4,0,Y,N,Y,N,N,2,47,2,APT,122,1,OWN,9,2,3,CHI_CARE,2,3,CHI_CARE,2,2,2,3,5,3,1,,,,,,,,3
1399,31,Y,3,0,Y,N,Y,N,N,2,47,2,APT,76,1,OWN,3,3,,,3,,,2,3,3,2,4,3,2,,,,,,,,3
1647,31,Y,3,0,Y,N,Y,N,N,2,47,2,APT,84,2,JEONSE,9,3,,,3,,,1,1,1,2,5,3,2,,,,,,,,3
1665,31,Y,3,0,Y,N,Y,N,N,2,47,2,APT,101,1,OWN,8,3,,,3,,,2,2,2,2,4,3,1,,,,,,,,2
1671,31,Y,4,0,Y,N,Y,N,N,2,47,2,APT,176,1,OWN,8,3,,,3,,,2,2,2,2,6,3,1,,,,,,,,2
1782,31,Y,5,0,Y,N,Y,N,N,1,47,2,APT,60,1,OWN,5,2,1,WORK,2,1,WORK,1,3,3,3,3,1,,MANUFACTURE,skill_own_worker,4,,60,0,3,3
1852,31,Y,5,1,Y,N,Y,N,N,1,47,2,APT,50,3,RENT_DEPOSIT,7,2,1,WORK,2,1,WORK,3,4,3,2,3,1,,TRANSPORTATION,machine_tech,1,1,42,0,1,2
2121,31,Y,3,1,Y,N,Y,N,N,1,47,2,APT,84,1,OWN,6,1,1,WORK,1,1,WORK,3,5,3,2,6,1,,HOTEL_RESTAU,service_worker,4,,78,0,3,3
11921,32,N,5,1,Y,N,Y,N,N,1,47,1,SINGLE,72,1,OWN,4,3,,,2,3,CHI_CARE,3,1,1,2,3,1,,CONSTRUCTION,skill_own_worker,1,1,28,0,5,3
12219,32,N,4,0,Y,N,Y,N,N,1,47,2,APT,112,1,OWN,4,3,,,3,,,3,3,2,2,5,1,,PUBLIC,service_worker,1,1,46,0,1,4
